Row ID,Order ID,Order Date,Customer ID,Sales
1,CA-2016-152156,11/8/2019,CG-12520,261.96
2,CA-2016-152156,11/8/2019,CG-12520,731.94
3,CA-2016-138688,6/12/2019,DV-13045,14.62
4,US-2015-108966,10/11/2018,SO-20335,957.58
5,US-2015-108966,10/11/2018,SO-20335,22.37
6,CA-2014-115812,6/9/2017,BH-11710,48.86
7,CA-2014-115812,6/9/2017,BH-11710,7.28
8,CA-2014-115812,6/9/2017,BH-11710,907.15
9,CA-2014-115812,6/9/2017,BH-11710,18.50
10,CA-2014-115812,6/9/2017,BH-11710,114.90
11,CA-2014-115812,6/9/2017,BH-11710,1706.18
12,CA-2014-115812,6/9/2017,BH-11710,911.42
13,CA-2017-114412,4/15/2020,AA-10480,15.55
14,CA-2016-161389,12/5/2019,IM-15070,407.98
15,US-2015-118983,11/22/2018,HP-14815,68.81
16,US-2015-118983,11/22/2018,HP-14815,2.54
17,CA-2014-105893,11/11/2017,PK-19075,665.88
18,CA-2014-167164,5/13/2017,AG-10270,55.50
19,CA-2014-143336,8/27/2017,ZD-21925,8.56
20,CA-2014-143336,8/27/2017,ZD-21925,213.48
21,CA-2014-143336,8/27/2017,ZD-21925,22.72
22,CA-2016-137330,12/9/2019,KB-16585,19.46
23,CA-2016-137330,12/9/2019,KB-16585,60.34
24,US-2017-156909,7/16/2020,SF-20065,71.37
25,CA-2015-106320,9/25/2018,EB-13870,1044.63
26,CA-2016-121755,1/16/2019,EH-13945,11.65
27,CA-2016-121755,1/16/2019,EH-13945,90.57
28,US-2015-150630,9/17/2018,TB-21520,3083.43
29,US-2015-150630,9/17/2018,TB-21520,9.62
30,US-2015-150630,9/17/2018,TB-21520,124.20
31,US-2015-150630,9/17/2018,TB-21520,3.26
32,US-2015-150630,9/17/2018,TB-21520,86.30
33,US-2015-150630,9/17/2018,TB-21520,6.86
34,US-2015-150630,9/17/2018,TB-21520,15.76
36,CA-2016-117590,12/8/2019,GH-14485,1097.54
37,CA-2016-117590,12/8/2019,GH-14485,190.92
38,CA-2015-117415,12/27/2018,SN-20710,113.33
39,CA-2015-117415,12/27/2018,SN-20710,532.40
40,CA-2015-117415,12/27/2018,SN-20710,212.06
41,CA-2015-117415,12/27/2018,SN-20710,371.17
43,CA-2016-101343,7/17/2019,RA-19885,77.88
45,CA-2016-118255,3/11/2019,ON-18715,45.98
46,CA-2016-118255,3/11/2019,ON-18715,17.46
47,CA-2014-146703,10/20/2017,PO-18865,211.96
48,CA-2016-169194,6/20/2019,LH-16900,45.00
49,CA-2016-169194,6/20/2019,LH-16900,21.80
50,CA-2015-115742,4/18/2018,DP-13000,38.22
51,CA-2015-115742,4/18/2018,DP-13000,75.18
52,CA-2015-115742,4/18/2018,DP-13000,6.16
53,CA-2015-115742,4/18/2018,DP-13000,89.99
54,CA-2016-105816,12/11/2019,JM-15265,15.26
55,CA-2016-105816,12/11/2019,JM-15265,1029.95
56,CA-2016-111682,6/17/2019,TB-21055,208.56
57,CA-2016-111682,6/17/2019,TB-21055,32.40
58,CA-2016-111682,6/17/2019,TB-21055,319.41
59,CA-2016-111682,6/17/2019,TB-21055,14.56
60,CA-2016-111682,6/17/2019,TB-21055,30.00
61,CA-2016-111682,6/17/2019,TB-21055,48.48
62,CA-2016-111682,6/17/2019,TB-21055,1.68
63,CA-2015-135545,11/24/2018,KM-16720,13.98
64,CA-2015-135545,11/24/2018,KM-16720,25.82
65,CA-2015-135545,11/24/2018,KM-16720,146.73
66,CA-2015-135545,11/24/2018,KM-16720,79.76
67,US-2015-164175,4/30/2018,PS-18970,213.11
68,CA-2014-106376,12/5/2017,BS-11590,1113.02
69,CA-2014-106376,12/5/2017,BS-11590,167.97
70,CA-2016-119823,6/4/2019,KD-16270,75.88
71,CA-2016-106075,9/18/2019,HM-14980,4.62
73,US-2015-134026,4/26/2018,JE-15745,831.94
74,US-2015-134026,4/26/2018,JE-15745,97.04
75,US-2015-134026,4/26/2018,JE-15745,72.78
79,US-2014-147606,11/26/2017,JE-15745,19.30
80,CA-2016-127208,6/12/2019,SC-20770,208.16
81,CA-2016-127208,6/12/2019,SC-20770,16.74
82,CA-2014-139451,10/12/2017,DN-13690,14.90
83,CA-2014-139451,10/12/2017,DN-13690,21.39
84,CA-2015-149734,9/3/2018,JC-16105,200.98
86,CA-2017-140088,5/28/2020,PO-18865,301.96
89,CA-2016-159695,4/5/2019,GM-14455,158.37
90,CA-2016-109806,9/17/2019,JS-15685,20.10
91,CA-2016-109806,9/17/2019,JS-15685,73.58
92,CA-2016-109806,9/17/2019,JS-15685,6.48
93,CA-2015-149587,1/31/2018,KB-16315,12.96
94,CA-2015-149587,1/31/2018,KB-16315,53.34
95,CA-2015-149587,1/31/2018,KB-16315,32.96
98,CA-2017-157833,6/17/2020,KD-16345,51.31
99,CA-2016-149223,9/6/2019,ER-13855,77.88
100,CA-2016-158568,8/29/2019,RB-19465,64.62
101,CA-2016-158568,8/29/2019,RB-19465,95.98
102,CA-2016-158568,8/29/2019,RB-19465,1.79
103,CA-2016-129903,12/1/2019,GZ-14470,23.92
104,US-2015-156867,11/13/2018,LC-16870,238.90
105,US-2015-156867,11/13/2018,LC-16870,102.36
106,US-2015-156867,11/13/2018,LC-16870,36.88
110,CA-2015-129476,10/15/2018,PA-19060,339.96
112,CA-2016-128867,11/3/2019,CL-12565,75.96
113,CA-2016-128867,11/3/2019,CL-12565,27.24
114,CA-2014-115259,8/25/2017,RC-19960,40.10
115,CA-2014-115259,8/25/2017,RC-19960,4.72
116,CA-2014-115259,8/25/2017,RC-19960,23.98
117,CA-2014-115259,8/25/2017,RC-19960,130.46
118,CA-2015-110457,3/2/2018,DK-13090,787.53
119,US-2015-136476,4/5/2018,GG-14650,157.79
120,CA-2016-103730,6/12/2019,SC-20725,47.04
